"type","game_id","home_team","away_team","week","season","state_of_game"
"reg","2019090500","CHI","GB",1,2019,"POST"
"reg","2019090800","CAR","LA",1,2019,"PRE"
"reg","2019090806","PHI","WAS",1,2019,"PRE"
"reg","2019090805","NYJ","BUF",1,2019,"PRE"
"reg","2019090804","MIN","ATL",1,2019,"PRE"
"reg","2019090803","MIA","BAL",1,2019,"PRE"
"reg","2019090802","JAX","KC",1,2019,"PRE"
"reg","2019090801","CLE","TEN",1,2019,"PRE"
"reg","2019090807","LAC","IND",1,2019,"PRE"
"reg","2019090808","SEA","CIN",1,2019,"PRE"
"reg","2019090811","TB","SF",1,2019,"PRE"
"reg","2019090810","DAL","NYG",1,2019,"PRE"
"reg","2019090809","ARI","DET",1,2019,"PRE"
"reg","2019090812","NE","PIT",1,2019,"PRE"
"reg","2019090900","NO","HOU",1,2019,"PRE"
"reg","2019090901","OAK","DEN",1,2019,"PRE"
"reg","2019091200","CAR","TB",2,2019,"PRE"
"reg","2019091500","BAL","ARI",2,2019,"PRE"
"reg","2019091509","WAS","DAL",2,2019,"PRE"
"reg","2019091508","TEN","IND",2,2019,"PRE"
"reg","2019091507","PIT","SEA",2,2019,"PRE"
"reg","2019091506","NYG","BUF",2,2019,"PRE"
"reg","2019091501","CIN","SF",2,2019,"PRE"
"reg","2019091502","DET","LAC",2,2019,"PRE"
"reg","2019091503","GB","MIN",2,2019,"PRE"
"reg","2019091504","HOU","JAX",2,2019,"PRE"
"reg","2019091505","MIA","NE",2,2019,"PRE"
"reg","2019091510","OAK","KC",2,2019,"PRE"
"reg","2019091512","LA","NO",2,2019,"PRE"
"reg","2019091511","DEN","CHI",2,2019,"PRE"
"reg","2019091513","ATL","PHI",2,2019,"PRE"
"reg","2019091600","NYJ","CLE",2,2019,"PRE"
"reg","2019091900","JAX","TEN",3,2019,"PRE"
"reg","2019092200","BUF","CIN",3,2019,"PRE"
"reg","2019092207","PHI","DET",3,2019,"PRE"
"reg","2019092206","NE","NYJ",3,2019,"PRE"
"reg","2019092205","MIN","OAK",3,2019,"PRE"
"reg","2019092204","KC","BAL",3,2019,"PRE"
"reg","2019092203","IND","ATL",3,2019,"PRE"
"reg","2019092202","GB","DEN",3,2019,"PRE"
"reg","2019092201","DAL","MIA",3,2019,"PRE"
"reg","2019092209","TB","NYG",3,2019,"PRE"
"reg","2019092208","ARI","CAR",3,2019,"PRE"
"reg","2019092212","SF","PIT",3,2019,"PRE"
"reg","2019092211","SEA","NO",3,2019,"PRE"
"reg","2019092210","LAC","HOU",3,2019,"PRE"
"reg","2019092213","CLE","LA",3,2019,"PRE"
"reg","2019092300","WAS","CHI",3,2019,"PRE"
"reg","2019092600","GB","PHI",4,2019,"PRE"
"reg","2019092900","ATL","TEN",4,2019,"PRE"
"reg","2019092907","NYG","WAS",4,2019,"PRE"
"reg","2019092906","MIA","LAC",4,2019,"PRE"
"reg","2019092905","IND","OAK",4,2019,"PRE"
"reg","2019092904","HOU","CAR",4,2019,"PRE"
"reg","2019092903","DET","KC",4,2019,"PRE"
"reg","2019092901","BAL","CLE",4,2019,"PRE"
"reg","2019092902","BUF","NE",4,2019,"PRE"
"reg","2019092909","LA","TB",4,2019,"PRE"
"reg","2019092908","ARI","SEA",4,2019,"PRE"
"reg","2019092910","CHI","MIN",4,2019,"PRE"
"reg","2019092911","DEN","JAX",4,2019,"PRE"
"reg","2019092912","NO","DAL",4,2019,"PRE"
"reg","2019093000","PIT","CIN",4,2019,"PRE"
"reg","2019100300","SEA","LA",5,2019,"PRE"
"reg","2019100600","CAR","JAX",5,2019,"PRE"
"reg","2019100609","WAS","NE",5,2019,"PRE"
"reg","2019100608","TEN","BUF",5,2019,"PRE"
"reg","2019100607","PIT","BAL",5,2019,"PRE"
"reg","2019100601","CIN","ARI",5,2019,"PRE"
"reg","2019100602","HOU","ATL",5,2019,"PRE"
"reg","2019100603","NO","TB",5,2019,"PRE"
"reg","2019100604","NYG","MIN",5,2019,"PRE"
"reg","2019100605","OAK","CHI",5,2019,"PRE"
"reg","2019100606","PHI","NYJ",5,2019,"PRE"
"reg","2019100610","LAC","DEN",5,2019,"PRE"
"reg","2019100611","DAL","GB",5,2019,"PRE"
