"type","game_id","home_team","away_team","week","season","state_of_game"
"reg","2018090600","PHI","ATL",1,2018,"POST"
"reg","2018090900","BAL","BUF",1,2018,"POST"
"reg","2018090907","NYG","JAX",1,2018,"POST"
"reg","2018090906","NO","TB",1,2018,"POST"
"reg","2018090905","NE","HOU",1,2018,"POST"
"reg","2018090904","MIN","SF",1,2018,"POST"
"reg","2018090903","MIA","TEN",1,2018,"POST"
"reg","2018090902","IND","CIN",1,2018,"POST"
"reg","2018090901","CLE","PIT",1,2018,"POST"
"reg","2018090908","LAC","KC",1,2018,"POST"
"reg","2018090911","DEN","SEA",1,2018,"POST"
"reg","2018090910","CAR","DAL",1,2018,"POST"
"reg","2018090909","ARI","WAS",1,2018,"POST"
"reg","2018090912","GB","CHI",1,2018,"POST"
"reg","2018091000","DET","NYJ",1,2018,"POST"
"reg","2018091001","OAK","LA",1,2018,"POST"
"reg","2018091300","CIN","BAL",2,2018,"POST"
"reg","2018091600","ATL","CAR",2,2018,"POST"
"reg","2018091608","WAS","IND",2,2018,"POST"
"reg","2018091607","TEN","HOU",2,2018,"POST"
"reg","2018091606","TB","PHI",2,2018,"POST"
"reg","2018091605","PIT","KC",2,2018,"POST"
"reg","2018091604","NYJ","MIA",2,2018,"POST"
"reg","2018091601","BUF","LAC",2,2018,"POST"
"reg","2018091602","GB","MIN",2,2018,"POST"
"reg","2018091603","NO","CLE",2,2018,"POST"
"reg","2018091610","SF","DET",2,2018,"POST"
"reg","2018091609","LA","ARI",2,2018,"POST"
"reg","2018091612","JAX","NE",2,2018,"POST"
"reg","2018091611","DEN","OAK",2,2018,"POST"
"reg","2018091613","DAL","NYG",2,2018,"POST"
"reg","2018091700","CHI","SEA",2,2018,"POST"
"reg","2018092000","CLE","NYJ",3,2018,"POST"
"reg","2018092300","ATL","NO",3,2018,"POST"
"reg","2018092309","WAS","GB",3,2018,"POST"
"reg","2018092308","PHI","IND",3,2018,"POST"
"reg","2018092307","MIN","BUF",3,2018,"POST"
"reg","2018092306","MIA","OAK",3,2018,"POST"
"reg","2018092301","BAL","DEN",3,2018,"POST"
"reg","2018092302","CAR","CIN",3,2018,"POST"
"reg","2018092303","HOU","NYG",3,2018,"POST"
"reg","2018092304","JAX","TEN",3,2018,"POST"
"reg","2018092305","KC","SF",3,2018,"POST"
"reg","2018092310","LA","LAC",3,2018,"POST"
"reg","2018092312","SEA","DAL",3,2018,"POST"
"reg","2018092311","ARI","CHI",3,2018,"POST"
"reg","2018092313","DET","NE",3,2018,"POST"
"reg","2018092400","TB","PIT",3,2018,"POST"
"reg","2018092700","LA","MIN",4,2018,"POST"
"reg","2018093005","JAX","NYJ",4,2018,"POST"
"reg","2018093006","NE","MIA",4,2018,"POST"
"reg","2018093007","TEN","PHI",4,2018,"POST"
"reg","2018093004","IND","HOU",4,2018,"POST"
"reg","2018093003","GB","BUF",4,2018,"POST"
"reg","2018093002","DAL","DET",4,2018,"POST"
"reg","2018093001","CHI","TB",4,2018,"POST"
"reg","2018093000","ATL","CIN",4,2018,"POST"
"reg","2018093008","ARI","SEA",4,2018,"POST"
"reg","2018093009","OAK","CLE",4,2018,"POST"
"reg","2018093011","NYG","NO",4,2018,"POST"
"reg","2018093010","LAC","SF",4,2018,"POST"
"reg","2018093012","PIT","BAL",4,2018,"POST"
"reg","2018100100","DEN","KC",4,2018,"POST"
"reg","2018100400","NE","IND",5,2018,"POST"
"reg","2018100700","BUF","TEN",5,2018,"POST"
"reg","2018100707","PIT","ATL",5,2018,"POST"
"reg","2018100706","NYJ","DEN",5,2018,"POST"
"reg","2018100705","KC","JAX",5,2018,"POST"
"reg","2018100704","DET","GB",5,2018,"POST"
