full_name,mascot,city,thescore_abbrev,nflscrapr_abbrev,division,logo,wiki_logo,primary,secondary,tertiary,quaternary
Green Bay Packers,Packers,Green Bay,GB,GB,NFC North,http://content.sportslogos.net/logos/7/171/full/dcy03myfhffbki5d7il3.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png,#203731,#ffb612,#1c2d25,#eead1e
Carolina Panthers,Panthers,Carolina,CAR,CAR,NFC South,http://content.sportslogos.net/logos/7/174/full/f1wggq2k8ql88fe33jzhw641u.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,#0085ca,#000000,#bfc0bf,#0085ca
New England Patriots,Patriots,New England,NE,NE,AFC East,http://content.sportslogos.net/logos/7/151/full/y71myf8mlwlk8lbgagh3fd5e0.png,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,#002244,#c60c30,#b0b7bc,#001532
Oakland Raiders,Raiders,Oakland,OAK,OAK,AFC West,http://content.sportslogos.net/logos/7/163/full/g9mgk6x3ge26t44cccm9oq1vl.png,https://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Oakland_Raiders_logo.svg/100px-Oakland_Raiders_logo.svg.png,#a5acaf,#000000,#a6aeb0,#000000
Los Angeles Rams,Rams,Los Angeles R,LAR,LA,NFC West,http://content.sportslogos.net/logos/7/5941/full/7953_los_angeles_rams-primary-2017.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,#002244,#b3995d,#001532,#af925d
Baltimore Ravens,Ravens,Baltimore,BAL,BAL,AFC North,http://content.sportslogos.net/logos/7/153/full/318.png,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png,#241773,#000000,#9e7c0c,#c60c30
Washington Redskins,Redskins,Washington,WAS,WAS,NFC East,http://content.sportslogos.net/logos/7/168/full/im5xz2q9bjbg44xep08bf5czq.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/63/Washington_Redskins_logo.svg/100px-Washington_Redskins_logo.svg.png,#773141,#ffb612,#000000,#5b2b2f
New Orleans Saints,Saints,New Orleans,NO,NO,NFC South,http://content.sportslogos.net/logos/7/175/full/907.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png,#9f8958,#000000,#9f8958,#000000
Seattle Seahawks,Seahawks,Seattle,SEA,SEA,NFC West,http://content.sportslogos.net/logos/7/180/full/pfiobtreaq7j0pzvadktsc6jv.png,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png,#002244,#69be28,#a5acaf,#001532
Pittsburgh Steelers,Steelers,Pittsburgh,PIT,PIT,AFC North,http://content.sportslogos.net/logos/7/156/full/970.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,#000000,#ffb612,#c60c30,#00539b
Houston Texans,Texans,Houston,HOU,HOU,AFC South,http://content.sportslogos.net/logos/7/157/full/570.png,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,#03202f,#a71930,#00071c,#a30d2d
Tennessee Titans,Titans,Tennessee,TEN,TEN,AFC South,http://content.sportslogos.net/logos/7/160/full/1053.png,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Tennessee_Titans_logo.svg/100px-Tennessee_Titans_logo.svg.png,#002244,#4b92db,#c60c30,#a5acaf
Minnesota Vikings,Vikings,Minnesota,MIN,MIN,NFC North,http://content.sportslogos.net/logos/7/172/full/2704_minnesota_vikings-primary-2013.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Minnesota_Vikings_logo.svg/98px-Minnesota_Vikings_logo.svg.png,#4f2683,#ffc62f,#e9bf9b,#000000
