"play_id","game_id","home_team","away_team","posteam","posteam_type","defteam","side_of_field","yardline_100","game_date","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","quarter_end","drive","sp","qtr","down","goal_to_go","time","yrdln","ydstogo","ydsnet","desc","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_kneel","qb_spike","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","field_goal_result","kick_distance","extra_point_result","two_point_conv_result","home_timeouts_remaining","away_timeouts_remaining","timeout","timeout_team","td_team","posteam_timeouts_remaining","defteam_timeouts_remaining","total_home_score","total_away_score","posteam_score","defteam_score","score_differential","posteam_score_post","defteam_score_post","score_differential_post","no_score_prob","opp_fg_prob","opp_safety_prob","opp_td_prob","fg_prob","safety_prob","td_prob","extra_point_prob","two_point_conversion_prob","ep","epa","total_home_epa","total_away_epa","total_home_rush_epa","total_away_rush_epa","total_home_pass_epa","total_away_pass_epa","air_epa","yac_epa","comp_air_epa","comp_yac_epa","total_home_comp_air_epa","total_away_comp_air_epa","total_home_comp_yac_epa","total_away_comp_yac_epa","total_home_raw_air_epa","total_away_raw_air_epa","total_home_raw_yac_epa","total_away_raw_yac_epa","wp","def_wp","home_wp","away_wp","wpa","home_wp_post","away_wp_post","total_home_rush_wpa","total_away_rush_wpa","total_home_pass_wpa","total_away_pass_wpa","air_wpa","yac_wpa","comp_air_wpa","comp_yac_wpa","total_home_comp_air_wpa","total_away_comp_air_wpa","total_home_comp_yac_wpa","total_away_comp_yac_wpa","total_home_raw_air_wpa","total_away_raw_air_wpa","total_home_raw_yac_wpa","total_away_raw_yac_wpa","punt_blocked","first_down_rush","first_down_pass","first_down_penalty","third_down_converted","third_down_failed","fourth_down_converted","fourth_down_failed","incomplete_pass","touchback","interception","punt_inside_twenty","punt_in_endzone","punt_out_of_bounds","punt_downed","punt_fair_catch","kickoff_inside_twenty","kickoff_in_endzone","kickoff_out_of_bounds","kickoff_downed","kickoff_fair_catch","fumble_forced","fumble_not_forced","fumble_out_of_bounds","solo_tackle","safety","penalty","tackled_for_loss","fumble_lost","own_kickoff_recovery","own_kickoff_recovery_td","qb_hit","rush_attempt","pass_attempt","sack","touchdown","pass_touchdown","rush_touchdown","return_touchdown","extra_point_attempt","two_point_attempt","field_goal_attempt","kickoff_attempt","punt_attempt","fumble","complete_pass","assist_tackle","lateral_reception","lateral_rush","lateral_return","lateral_recovery","passer_player_id","passer_player_name","receiver_player_id","receiver_player_name","rusher_player_id","rusher_player_name","lateral_receiver_player_id","lateral_receiver_player_name","lateral_rusher_player_id","lateral_rusher_player_name","lateral_sack_player_id","lateral_sack_player_name","interception_player_id","interception_player_name","lateral_interception_player_id","lateral_interception_player_name","punt_returner_player_id","punt_returner_player_name","lateral_punt_returner_player_id","lateral_punt_returner_player_name","kickoff_returner_player_name","kickoff_returner_player_id","lateral_kickoff_returner_player_id","lateral_kickoff_returner_player_name","punter_player_id","punter_player_name","kicker_player_name","kicker_player_id","own_kickoff_recovery_player_id","own_kickoff_recovery_player_name","blocked_player_id","blocked_player_name","tackle_for_loss_1_player_id","tackle_for_loss_1_player_name","tackle_for_loss_2_player_id","tackle_for_loss_2_player_name","qb_hit_1_player_id","qb_hit_1_player_name","qb_hit_2_player_id","qb_hit_2_player_name","forced_fumble_player_1_team","forced_fumble_player_1_player_id","forced_fumble_player_1_player_name","forced_fumble_player_2_team","forced_fumble_player_2_player_id","forced_fumble_player_2_player_name","solo_tackle_1_team","solo_tackle_2_team","solo_tackle_1_player_id","solo_tackle_2_player_id","solo_tackle_1_player_name","solo_tackle_2_player_name","assist_tackle_1_player_id","assist_tackle_1_player_name","assist_tackle_1_team","assist_tackle_2_player_id","assist_tackle_2_player_name","assist_tackle_2_team","assist_tackle_3_player_id","assist_tackle_3_player_name","assist_tackle_3_team","assist_tackle_4_player_id","assist_tackle_4_player_name","assist_tackle_4_team","pass_defense_1_player_id","pass_defense_1_player_name","pass_defense_2_player_id","pass_defense_2_player_name","fumbled_1_team","fumbled_1_player_id","fumbled_1_player_name","fumbled_2_player_id","fumbled_2_player_name","fumbled_2_team","fumble_recovery_1_team","fumble_recovery_1_yards","fumble_recovery_1_player_id","fumble_recovery_1_player_name","fumble_recovery_2_team","fumble_recovery_2_yards","fumble_recovery_2_player_id","fumble_recovery_2_player_name","return_team","return_yards","penalty_team","penalty_player_id","penalty_player_name","penalty_yards","replay_or_challenge","replay_or_challenge_result","penalty_type","defensive_two_point_attempt","defensive_two_point_conv","defensive_extra_point_attempt","defensive_extra_point_conv"
"36",2009120612,"SEA","SF","SEA","home","SF","SF",30,2009-12-06,900,1800,3600,"Half1",0,1,0,1,NA,0,"15:00","SF 30",0,0,"J.Nedney kicks 74 yards from SF 30 to SEA -4. L.Rankin to SEA 20 for 24 yards (A.Battle).","kickoff",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,NA,NA,3,3,0,0,NA,NA,NA,0,0,0,0.00150632650258975,0.179748786264307,0.00663910837844864,0.281137706070735,0.213700143484249,0.00359231277883968,0.31367561652083,0,0,0.323525853611276,0.00182898339866155,0.00182898339866155,-0.00182898339866155,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L.Rankin","00-0025841",NA,NA,NA,NA,"J.Nedney","00-0011970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF",NA,"00-0022064",NA,"A.Battle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA",24,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"58",2009120612,"SEA","SF","SF","away","SEA","SF",70,2009-12-06,894,1794,3594,"Half1",0,1,0,1,NA,0,"14:54","SF 30",0,0,"Timeout #1 by SF at 14:54.","no_play",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,"SF",NA,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325354837009938,0,0.00182898339866155,-0.00182898339866155,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0.470139926765054,0.529860073234946,0.529860073234946,0.470139926765054,0,0.529860073234946,0.470139926765054,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"86",2009120612,"SEA","SF","SEA","home","SF","SEA",80,2009-12-06,894,1794,3594,"Half1",0,1,0,1,"1",0,"14:54","SEA 20",10,0,"(14:54) M.Hasselbeck pass short middle to J.Griffith to SEA 20 for no gain (P.Willis) [M.Lawson].","pass",0,0,0,1,0,0,0,"short","middle",0,0,NA,NA,NA,NA,NA,NA,3,2,0,NA,NA,3,2,0,0,0,0,0,0,0,0,0.00154313352485605,0.179707975265135,0.00663701930065421,0.281010022635237,0.213733263662207,0.00359138608333635,0.313777199528574,0,0,0.325354837009938,-0.770444923388239,-0.768615939989578,0.768615939989578,0,0,-0.770444923388239,0.770444923388239,-0.770444923388239,0,-0.770444923388239,0,-0.770444923388239,0.770444923388239,0,0,-0.770444923388239,0.770444923388239,0,0,0.500752471369972,0.499247528630028,0.500752471369972,0.499247528630028,-0.0204275446636364,0.480324926706336,0.519675073293664,0,0,-0.0204275446636364,0.0204275446636364,-0.0204275446636364,0,-0.0204275446636364,0,-0.0204275446636364,0.0204275446636364,0,0,-0.0204275446636364,0.0204275446636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0007091","M.Hasselbeck","00-0022011","J.Griffith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0024237","M.Lawson",NA,NA,NA,NA,NA,NA,NA,NA,"SF",NA,"00-0025398",NA,"P.Willis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"110",2009120612,"SEA","SF","SEA","home","SF","SEA",80,2009-12-06,860,1760,3560,"Half1",0,1,0,1,"2",0,"14:20","SEA 20",10,0,"(14:20) M.Hasselbeck pass incomplete short right to T.Houshmandzadeh.","pass",0,0,0,1,0,0,0,"short","right",15,NA,NA,NA,NA,NA,NA,NA,3,2,0,NA,NA,3,2,0,0,0,0,0,0,0,0,0.00178893681986683,0.206455650904846,0.00793776980731793,0.322624934374268,0.1900898611773,0.00389251307519226,0.267210333841209,0,0,-0.445090086378301,-0.96714846969372,-1.7357644096833,1.7357644096833,0,0,-1.73759339308196,1.73759339308196,2.20420026274803,-3.17134873244175,0,0,-0.770444923388239,0.770444923388239,0,0,1.43375533935979,-1.43375533935979,-3.17134873244175,3.17134873244175,0.480324926706336,0.519675073293664,0.480324926706336,0.519675073293664,-0.0284161980283243,0.451908728678012,0.548091271321988,0,0,-0.0488437426919608,0.0488437426919608,0.0651240137169062,-0.0935402117452305,0,0,-0.0204275446636364,0.0204275446636364,0,0,0.0446964690532697,-0.0446964690532697,-0.0935402117452305,0.0935402117452305,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0007091","M.Hasselbeck","00-0020438","T.Houshmandzadeh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"132",2009120612,"SEA","SF","SEA","home","SF","SEA",80,2009-12-06,856,1756,3556,"Half1",0,1,0,1,"3",0,"14:16","SEA 20",10,0,"(14:16) M.Hasselbeck pass incomplete deep right to N.Burleson.","pass",0,0,0,1,0,0,0,"deep","right",17,NA,NA,NA,NA,NA,NA,NA,3,2,0,NA,NA,3,2,0,0,0,0,0,0,0,0,0.00173438702080482,0.244916320962977,0.00889816759560526,0.376448620078618,0.14475659524717,0.00430881336936949,0.218937095725456,0,0,-1.41223855607202,-1.29144446563451,-3.02720887531781,3.02720887531781,0,0,-3.02903785871647,3.02903785871647,3.34658827715761,-4.63803274279212,0,0,-0.770444923388239,0.770444923388239,0,0,4.7803436165174,-4.7803436165174,-7.80938147523387,7.80938147523387,0.451908728678012,0.548091271321988,0.451908728678012,0.548091271321988,-0.0397675969700297,0.412141131707982,0.587858868292018,0,0,-0.0886113396619905,0.0886113396619905,0.0991017060406274,-0.138869303010657,0,0,-0.0204275446636364,0.0204275446636364,0,0,0.143798175093897,-0.143798175093897,-0.232409514755888,0.232409514755888,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0007091","M.Hasselbeck","00-0021999","N.Burleson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"154",2009120612,"SEA","SF","SEA","home","SF","SEA",80,2009-12-06,851,1751,3551,"Half1",0,1,0,1,"4",0,"14:11","SEA 20",10,0,"(14:11) J.Ryan punts 52 yards to SF 28, Center-K.Houser. A.Battle to SF 31 for 3 yards (K.Houser). PENALTY on SF-M.Robinson, Illegal Block Above the Waist, 10 yards, enforced at SF 31.","punt",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,3,2,0,NA,NA,3,2,0,0,0,0,0,0,0,0,0.00170815890580256,0.306117985477002,0.00851993700844503,0.447409786716917,0.0667556848644044,0.00462137360508475,0.164867073422344,0,0,-2.70368302170653,2.26229847173426,-0.764910403583549,0.764910403583549,0,0,-3.02903785871647,3.02903785871647,NA,NA,0,0,-0.770444923388239,0.770444923388239,0,0,4.7803436165174,-4.7803436165174,-7.80938147523387,7.80938147523387,0.412141131707982,0.587858868292018,0.412141131707982,0.587858868292018,0.111073475241535,0.523214606949517,0.476785393050483,0,0,-0.0886113396619905,0.0886113396619905,NA,NA,0,0,-0.0204275446636364,0.0204275446636364,0,0,0.143798175093897,-0.143798175093897,-0.232409514755888,0.232409514755888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0022064","A.Battle",NA,NA,NA,NA,NA,NA,"00-0023742","J.Ryan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA",NA,"00-0019503",NA,"K.Houser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SF",3,"SF","00-0024315","M.Robinson",10,0,NA,"Illegal Block Above the Waist",0,0,0,0
"191",2009120612,"SEA","SF","SF","away","SEA","SF",79,2009-12-06,838,1738,3538,"Half1",0,2,0,1,"1",0,"13:58","SF 21",10,0,"(13:58) A.Smith pass incomplete short left to M.Crabtree.","pass",0,0,0,1,0,0,0,"short","left",4,NA,NA,NA,NA,NA,NA,NA,3,2,0,NA,NA,2,3,0,0,0,0,0,0,0,0,0.00189901575404428,0.175886368115565,0.00611003599678722,0.274411273419319,0.217930621223448,0.00359760437168628,0.320165081119151,0,0,0.441384549972272,-0.778746679320839,0.0138362757372901,-0.0138362757372901,0,0,-2.25029117939563,2.25029117939563,-0.378339038614802,-0.400407640706037,0,0,-0.770444923388239,0.770444923388239,0,0,5.1586826551322,-5.1586826551322,-7.40897383452783,7.40897383452783,0.476785393050483,0.523214606949517,0.523214606949517,0.476785393050483,-0.0223457809402325,0.545560387889749,0.45443961211025,0,0,-0.066265558721758,0.066265558721758,-0.0106519629338518,-0.0116938180063806,0,0,-0.0204275446636364,0.0204275446636364,0,0,0.154450138027749,-0.154450138027749,-0.220715696749507,0.220715696749507,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0023436","A.Smith","00-0026986","M.Crabtree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"213",2009120612,"SEA","SF","SF","away","SEA","SF",79,2009-12-06,834,1734,3534,"Half1",0,2,0,1,"2",0,"13:54","SF 21",10,0,"(13:54) (Shotgun) A.Smith pass incomplete deep left to M.Crabtree.","pass",0,1,0,1,0,0,0,"deep","left",17,NA,NA,NA,NA,NA,NA,NA,3,2,0,NA,NA,2,3,0,0,0,0,0,0,0,0,0.00195687288908918,0.20269712627607,0.00742379745058952,0.316509568032408,0.194799933934025,0.00390897822382613,0.272703723193992,0,0,-0.337362129348566,-0.975208011786803,0.989044287524093,-0.989044287524093,0,0,-1.27508316760883,1.27508316760883,2.36266121862208,-3.33786923040888,0,0,-0.770444923388239,0.770444923388239,0,0,2.79602143651012,-2.79602143651012,-4.07110460411895,4.07110460411895,0.45443961211025,0.545560387889749,0.545560387889749,0.45443961211025,-0.028234617767684,0.573795005657433,0.426204994342566,0,0,-0.0380309409540741,0.0380309409540741,0.0701771407717121,-0.098411758539396,0,0,-0.0204275446636364,0.0204275446636364,0,0,0.0842729972560369,-0.0842729972560369,-0.122303938210111,0.122303938210111,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"00-0023436","A.Smith","00-0026986","M.Crabtree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"235",2009120612,"SEA","SF","SF","away","SEA","SF",79,2009-12-06,829,1729,3529,"Half1",0,2,0,1,"3",0,"13:49","SF 21",10,6,"(13:49) (Shotgun) A.Smith pass short right to F.Gore to SF 27 for 6 yards (M.Trufant).","pass",6,1,0,1,0,0,0,"short","right",-2,8,NA,NA,NA,NA,NA,NA,3,2,0,NA,NA,2,3,0,0,0,0,0,0,0,0,0.00191521289772854,0.241153467440377,0.00839300129617174,0.370751744940902,0.149950445727552,0.00435315053982346,0.223482977157445,0,0,-1.31257014113537,-0.612636257705906,1.60168054523,-1.60168054523,0,0,-0.66244690990292,0.66244690990292,-1.4437045567764,0.831068299070489,-1.4437045567764,0.831068299070489,0.673259633388156,-0.673259633388156,-0.831068299070489,0.831068299070489,4.23972599328652,-4.23972599328652,-4.90217290318944,4.90217290318944,0.426204994342566,0.573795005657433,0.573795005657433,0.426204994342566,-0.0167835559573977,0.590578561614831,0.409421438385169,0,0,-0.0212473849966763,0.0212473849966763,-0.0436057227262168,0.026822166768819,-0.0436057227262168,0.026822166768819,0.0231781780625803,-0.0231781780625803,-0.026822166768819,0.026822166768819,0.127878719982254,-0.127878719982254,-0.14912610497893,0.14912610497893,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"00-0023436","A.Smith","00-0023500","F.Gore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA",NA,"00-0022046",NA,"M.Trufant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
"259",2009120612,"SEA","SF","SF","away","SEA","SF",73,2009-12-06,799,1699,3499,"Half1",0,2,0,1,"4",0,"13:19","SF 27",4,6,"(13:19) A.Lee punts 51 yards to SEA 22, Center-B.Jennings, downed by SF-M.Robinson.","punt",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,3,2,0,NA,NA,2,3,0,0,0,0,0,0,0,0,0.00210355549167653,0.27306891562349,0.00588721748088101,0.410639026481246,0.0881941991592398,0.00501684589246226,0.215090239871005,0,0,-1.92520639884128,1.37016143188445,0.231519113345547,-0.231519113345547,0,0,-0.66244690990292,0.66244690990292,NA,NA,0,0,0.673259633388156,-0.673259633388156,-0.831068299070489,0.831068299070489,4.23972599328652,-4.23972599328652,-4.90217290318944,4.90217290318944,0.409421438385169,0.590578561614831,0.590578561614831,0.409421438385169,0.0771304264768289,0.513448135138002,0.486551864861998,0,0,-0.0212473849966763,0.0212473849966763,NA,NA,0,0,0.0231781780625803,-0.0231781780625803,-0.026822166768819,0.026822166768819,0.127878719982254,-0.127878719982254,-0.14912610497893,0.14912610497893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00-0022824","A.Lee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0
